issueID,PubDate,Article Cnt,Sales
1,2004/10/24,7,2227
2,2004/11/8,5,703
3,2004/11/23,7,2252
4,2004/12/8,7,2180
5,2004/12/23,8,2894
6,2005/1/7,7,2006
7,2005/1/22,7,2140
8,2005/2/6,7,2308
9,2005/2/21,6,1711
10,2005/3/8,5,1227
11,2005/3/23,9,3642
12,2005/4/7,7,2153
13,2005/4/22,6,1826
14,2005/5/7,6,1531
15,2005/5/22,6,1406
16,2005/6/6,7,2219
17,2005/6/21,10,4035
18,2005/7/6,7,2389
19,2005/7/21,6,1494
20,2005/8/5,7,2140
21,2005/8/20,6,1575
22,2005/9/4,9,3339
23,2005/9/19,6,1682
24,2005/10/4,10,3605
25,2005/10/19,7,2252
26,2005/11/3,9,3234
27,2005/11/18,8,2796
28,2005/12/3,5,1174
29,2005/12/18,8,2869
30,2006/1/2,5,1050
31,2006/1/17,7,2023
32,2006/2/1,6,1911
33,2006/2/16,9,3074
34,2006/3/3,6,1640
35,2006/3/18,7,2538
36,2006/4/2,9,3134
37,2006/4/17,6,1419
38,2006/5/2,6,1744
39,2006/5/17,8,2879
40,2006/6/1,8,2645
41,2006/6/16,10,4071
42,2006/7/1,5,1142
43,2006/7/16,7,1969
44,2006/7/31,8,2944
45,2006/8/15,6,1669
46,2006/8/30,6,1702
47,2006/9/14,7,1690
48,2006/9/29,6,1795
49,2006/10/14,5,1064
50,2006/10/29,10,3728
51,2006/11/13,7,2137
52,2006/11/28,8,3074
53,2006/12/13,9,3414
54,2006/12/28,5,1187
55,2007/1/12,10,4339
56,2007/1/27,8,2878
57,2007/2/11,7,2344
58,2007/2/26,9,3215
59,2007/3/13,9,3662
60,2007/3/28,5,918
61,2007/4/12,6,1316
62,2007/4/27,8,2608
63,2007/5/12,6,1643
64,2007/5/27,6,1256
65,2007/6/11,6,1201
66,2007/6/26,8,2707
67,2007/7/11,7,2566
68,2007/7/26,5,1331
69,2007/8/10,8,2740
70,2007/8/25,5,330
71,2007/9/9,5,1106
72,2007/9/24,6,2052
73,2007/10/9,9,3252
74,2007/10/24,10,4022
75,2007/11/8,6,1562
76,2007/11/23,9,3422
77,2007/12/8,5,1180
78,2007/12/23,9,3303
79,2008/1/7,6,1648
80,2008/1/22,10,3994
81,2008/2/6,18,4031
82,2008/2/21,19,4108
83,2008/3/7,17,4010
84,2008/3/22,16,4140
85,2008/4/6,16,4022
86,2008/4/21,14,3959
87,2008/5/6,14,3916
88,2008/5/21,14,4015
89,2008/6/5,17,4179
90,2008/6/20,16,4057
91,2008/7/5,11,4098
92,2008/7/20,16,3791
93,2008/8/4,20,3990
94,2008/8/19,13,4031
95,2008/9/3,12,4046
96,2008/9/18,12,3961
97,2008/10/3,15,4120
98,2008/10/18,16,3961
99,2008/11/2,13,4053
100,2008/11/17,18,3961
101,2008/12/2,16,4064
102,2008/12/17,14,3866
103,2009/1/1,15,4049
104,2009/1/16,14,4074
105,2009/1/31,17,4007
106,2009/2/15,16,3962
107,2009/3/2,14,3941
108,2009/3/17,13,4024
109,2009/4/1,13,3886
110,2009/4/16,20,3997
111,2009/5/1,27,3973
112,2009/5/16,24,3834
113,2009/5/31,26,3970
114,2009/6/15,27,3907
115,2009/6/30,30,3938
